marketplaceId,sellerId,amount,card_holder_name,card_exp_month,card_exp_year,card_cvv,card_number
8120232fdb8f4d958fdbd16282648218,1016f4e2406749cc8f45e57625461ee3,482043,Creola Sotomayor,5,2024,707,5356066320271893
8120232fdb8f4d958fdbd16282648218,11facd1738f74261b1be6a0b1d07910d,286913,Raphael Radley,6,2023,102,5201561050024014
8120232fdb8f4d958fdbd16282648218,2ec50b1fcf54478b9cd00d21e2c7abff,468438,Raven Reardon,1,2024,987,4556153246992603
8120232fdb8f4d958fdbd16282648218,396a231a08ad46b88d4a458287f00c02,491451,Kip Keltz,11,2024,930,5577270004286630
b09437c95d544e69b3f77675d7ac7f40,0bf0efb1fc5143158aeeffad7bef68d5,61940,Berniece Bryon,3,2019,691,5138692036125449
b4c70136e8c74be69061d40af58ca2a3,0212c4cd629e43479402c8149df9dd6f,295349,Teri Truehart,6,2023,563,4539003370725497
b4c70136e8c74be69061d40af58ca2a3,033e656f451c4ccdab0308509cb067af,300924,Benito Bulkley,11,2021,645,4761340000000035
b4c70136e8c74be69061d40af58ca2a3,03482fad34d54a9e81e145e7d5e078bb,118574,Barrie Bertelsen,9,2023,536,4716588836362104
b4c70136e8c74be69061d40af58ca2a3,07ce6c92cce24aab80cd98f782ffbf1a,170098,Ronald Rozell,1,2020,646,4532650104137832
b4c70136e8c74be69061d40af58ca2a3,083b99bae64544da80c95e78805b9762,484767,Jenny Jacobi,3,2019,621,5356066320271893
b4c70136e8c74be69061d40af58ca2a3,0862003ce48d488d8bb797f515e42b3f,433542,Mandy Mejorado,12,2023,170,5201561050024014
b4c70136e8c74be69061d40af58ca2a3,0932875950ec4448a070c0f322194f12,213405,Sook Stromain,12,2020,685,4556153246992603
b4c70136e8c74be69061d40af58ca2a3,0b41d5f0457e4dc1b37a50eab07dfe03,246401,Mckenzie Mcguinness,2,2021,116,5577270004286630
b4c70136e8c74be69061d40af58ca2a3,0b93f68ce0be42109f7b6fade9fa3f2b,91791,Roger Rappa,8,2024,224,5138692036125449
b4c70136e8c74be69061d40af58ca2a3,0f8250a91a574c84b22dda081888384f,199754,Earnest Ervin,11,2024,674,4539003370725497
b4c70136e8c74be69061d40af58ca2a3,125185936b1a4a18a9394b33bbd7f466,223397,Corrina Cevallos,5,2022,796,4761340000000035
b4c70136e8c74be69061d40af58ca2a3,1279919f6e4b45e597c43e1b7fd38598,17723,Giuseppina Gordy,6,2019,962,4716588836362104
b4c70136e8c74be69061d40af58ca2a3,19504ddb46944a67801064a6c83e5ba5,388424,Siobhan Sylvester,11,2019,522,4532650104137832
b4c70136e8c74be69061d40af58ca2a3,1a971d43be8341bda4000daf2b3d412b,408950,Patria Pietrowski,2,2025,523,5356066320271893
b4c70136e8c74be69061d40af58ca2a3,1b4e65eda6944ba2911d38f23b5fbfa6,379479,Daine Doane,1,2022,949,5201561050024014
b4c70136e8c74be69061d40af58ca2a3,1da21909ee8d4c59be1c9edcff394b3e,170544,Consuelo Caplinger,11,2023,378,4556153246992603
b4c70136e8c74be69061d40af58ca2a3,1e83c984cba84f24b0d96bec8936c344,194285,Lisa Lowrey,3,2022,745,5577270004286630
b4c70136e8c74be69061d40af58ca2a3,200fe31ff0264f2683e3627a787be6c1,449792,Jerome Jenney,8,2023,689,5138692036125449
b4c70136e8c74be69061d40af58ca2a3,2018a27f4dc04f39b60758223211a27d,186104,Alia Arboleda,3,2019,211,4539003370725497
b4c70136e8c74be69061d40af58ca2a3,25db88de7d98447bad12848b18dc2b09,61144,Trina Topper,3,2019,689,4761340000000035
b4c70136e8c74be69061d40af58ca2a3,25f78b5af9554e8a8f2fac627e3f323d,227410,Ryann Richer,5,2019,914,4716588836362104
b4c70136e8c74be69061d40af58ca2a3,286712b3027c40d2b01b79029fdc6e8b,453618,Tammara Trahan,4,2021,601,4532650104137832
b4c70136e8c74be69061d40af58ca2a3,286e956af9d843358fbd98622b1f0f9a,105858,Sheri Shropshire,6,2020,166,5356066320271893
b4c70136e8c74be69061d40af58ca2a3,28b2b4f2ee544ba58251cdcddc021278,138436,Lanell Lemelle,5,2020,726,5201561050024014
b4c70136e8c74be69061d40af58ca2a3,2cee08ccb803436a91aed19f857f0577,364609,Ayanna Ansley,7,2023,333,4556153246992603
b4c70136e8c74be69061d40af58ca2a3,2d6b26369c014f0fa92e2b18cb003e3f,417735,Arielle Arnett,9,2022,289,5577270004286630
b4c70136e8c74be69061d40af58ca2a3,2e23b713569c47be811e1d35a27940a4,494847,Cristin Chowdhury,10,2021,347,5138692036125449
b4c70136e8c74be69061d40af58ca2a3,31133e32b9464ff5a9ae833bdb97b9af,231027,Quinton Quinney,11,2022,769,4539003370725497
b4c70136e8c74be69061d40af58ca2a3,317ab4f12a6a423ba145ee71746f5ee3,150597,Maris Mora,1,2019,904,4761340000000035
b4c70136e8c74be69061d40af58ca2a3,334faf3b34e043c58fe11faa089d3144,49903,Evonne Easterling,6,2021,313,4716588836362104
b4c70136e8c74be69061d40af58ca2a3,33bc9b66b9df4828ad361d6057bc66c8,277727,Moshe Millette,5,2020,555,4532650104137832
b4c70136e8c74be69061d40af58ca2a3,3608c5a406394c5aaa7aa9275dd62298,248926,Omega Overcast,5,2025,837,5356066320271893
b4c70136e8c74be69061d40af58ca2a3,37b0327c63a44de99a1b0bdb74f1d85b,401446,Cortez Culpepper,9,2021,621,5201561050024014
b4c70136e8c74be69061d40af58ca2a3,38a379f9db1e4069af05317199b522a5,270453,Odessa Orduno,6,2019,495,4556153246992603
b4c70136e8c74be69061d40af58ca2a3,38cdb938b14e4f638775b1d9196f8539,137928,Janet Jaques,1,2020,512,5577270004286630
b4c70136e8c74be69061d40af58ca2a3,3b3bd1798fd941208d262160f7d6ca55,358281,Opal Odonoghue,2,2025,973,5138692036125449
b4c70136e8c74be69061d40af58ca2a3,3eb40ecf6c44452e947dbd3e77a53aeb,387622,Marcie Mangus,3,2019,531,4539003370725497
bfbc7a3c1ecf497ebf877a8468713a9a,37cdc332d41d46dba973ddae38f79a9f,363264,Cathie Carothers,10,2020,537,4761340000000035
c57f5c44256342998e598ab12b0f81d6,00f2a28a92ef4c4381a13755e7e39550,153455,Carolynn Cordero,5,2025,993,4716588836362104
c57f5c44256342998e598ab12b0f81d6,01744cca29dd4d3c8a88d6d7559368eb,157486,Cherry Coonrod,7,2019,554,4532650104137832
c57f5c44256342998e598ab12b0f81d6,0d97e8804157403e85e3dbbb0b0fd1b0,317065,Dena Dover,6,2020,590,5356066320271893
c57f5c44256342998e598ab12b0f81d6,28710ac3099946c2a07085120ee75d75,143127,Sydney Soden,6,2024,475,4556153246992603
f1ee0b1a627e4be0b38f0746d60fda35,090c527b557143928e085d28fdf9562e,337045,Thresa Torian,1,2025,511,5577270004286630
f1ee0b1a627e4be0b38f0746d60fda35,155eabde9c8a4fa09489dad9c3928681,265843,Temika Towers,10,2022,129,5138692036125449
f1ee0b1a627e4be0b38f0746d60fda35,3ec98f40bcd04e69827263a191aef78c,308079,Merle Minks,12,2021,812,4539003370725497
